NUM ACTIONNNEUR;N° DE SERIE ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;SENS UNIQUE;CONTACT STATUS;CDE MANU;PRES. ALIM;EFFET SIMPLE/DOUBLE;FOURNISSEUR ACTIONNEUR;TYPE CONTACTS
130;12/21382;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
131;12/21459;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
132;11/21067;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
133;17/23713;DR 10-0 C11;;;;1;10 BARS MAX;DOUBLE;10;NC
134;17/23713;DR 10-0 C11;;;;1;10 BARS MAX;DOUBLE;10;NC
135;12/21530;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
136;17/23713;DR 10-0 C11;;;;1;10 BARS MAX;DOUBLE;10;NC
137;17/23713;DR 10-0 C11;;;;1;10 BARS MAX;DOUBLE;10;NC
138;D01A18410051;B1CU 6/15;6/15;FMA;FERM+OUVER;0;8-5 BARS MAX;DOUBLE;25;IFC 2002
139;F-12-217037-001-05;CAMFLEX II;152 mm;FMA;FERM+OUVER;;1-7 BARS MAX;SIMPLE;18;I 56
140;F-12-217037-001-06;CAMFLEX II;152 mm;FMA;FERM+OUVER;;1-7 BARS MAX;SIMPLE;18;I 56
141;F-12-217037-001-4;CAMFLEX II;152 mm;FMA;FERM+OUVER;;1-7 BARS MAX;SIMPLE;18;I 56
142;F-12-217037-001-3;CAMFLEX II;152 mm;FMA;FERM+OUVER;;1-7 BARS MAX;SIMPLE;18;I 56
143;F-12-217037-001-01;CAMFLEX II;152 mm;FMA;FERM+OUVER;;1-7 BARS MAX;SIMPLE;18;I 56
144;F-12-217037-001-02;CAMFLEX II;152 mm;FMA;FERM+OUVER;;1-7 BARS MAX;SIMPLE;18;I 56
145;61-837901-1;CAMFLEX II;152 mm;FMA;FERM+OUVER;;1-8 BARS MAX;SIMPLE;18;I 56
146;61-837901-2;CAMFLEX II 35-35202;152 mm;FMA;FERM+OUVER;;1-8 BARS MAX;SIMPLE;18;I 56
147;9972324707/100-01-13;ACTAIR 200;200;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
148;12/21530;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
149;;SNH ;25;FMA;;1;8 BARS MAX;SIMPLE;21;NC
150;;Maxflo MTLD;;OMA;;;1-4 BARS MAX;SIMPLE;22;NC
151;MTLD11A231A;Maxflo MTLD;SM2;OMA;;;1-4 BARS MAX;SIMPLE;22;NC
152;1B502T;Maxflo MTLD;SM2;OMA;;;1-4 BARS MAX;SIMPLE;22;NC
153;F-14-219853-001-1;Camflex II;152 mm;FMA;FERM+OUVER;;1-7 BARS MAX;SIMPLE;18;I 56
154;62-55711.2;Camflex II;114 mm;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
155;62.55711.1;CAMFLEX II;114 mm;FMA;FERMETURE;;1-4 BARS MAX;SIMPLE;18;MAISON/TELEM.
156;64-2133-01-1;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
157;64-2133-01-3;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
158;64-2133-01-2;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
159;;0;;;;;0 BARS MAX;SIMPLE;27;NC
160;;0;;;;;0 BARS MAX;SIMPLE;27;NC
161;265362002/11;EDO 600.M1A00A0NO;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;35;IFM IFT 203
162;265362006/11;EDO 600.M1A00A0NO;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;35;IFM IFT 203
163;274746006/11;EDO 600.M1A00A0NO;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;35;IFM IFT 203
164;265362001/11;EDO 600.M1A00A0NO;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;35;IFM IFT 203
165;98187001013;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
166;97823003015;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
167;97823003041;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
168;97823003005;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
169;97823003009;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
170;97823003030;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC 
171;97823003011;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
