NUM ACTIONNNEUR;FOURNISSEUR ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;N° DE SERIE ACTIONNEUR;SENS OMA;SENS FMA;TYPE CONTACTS;CONTACT OUVERTURE;CONTACT FERMETURE;CDE MANU. OUI;CDE MANU. NON;PRES. ALIM;SIMPLE EFFET;DOUBLE EFFET
32;EMERSON;F89E-009 DA;009;0121020;;;AVID ZR IFM IS5026;X;X;X;;8,3 bars max;;X
33;AMRI KSB;ACTAIR 6 R1121 1;6;76140045/0120;;;AMTROBOX;X;X;X;;10 bar max;;X
34;EMERSON;F89E-009 DA;009;0121013;0;0;AVID ZR IFM IS5026;X;X;0;X;8,3 bars max;0;X
35;EMERSON;F89E-009 DA;009;0121003;;;AVID ZR IFM IS5026;X;X;X;;8,3 bars max;;X
36;AMRI KSB;ACTAIR 25;25;71516731/0110;0;0;Amtrobox;X;X;X;;8 bar max;0;X
37;AMRI KSB;Actair;25;71516731/0110;;;Amtrobox;X;X;;X;8 bar max;;X
38;AMRI KSB;ACTAIR 25 R1123 ;25;;0;0;IFM IS-5026;X;X;X;;8 bar max;0;X
39;AMRI KSB;ACTAIR 25 R1123 ;25;9972204887/200;0;0;IFM IS-5026;X;X;X;;8 bar max;0;X
40;AMRI KSB;ACTAIR 25 R1123 ;25;;0;0;IFM IS-5026;X;X;X;;8 bar max;0;X
41;AMRI KSB;ACTAIR 25;25;;;;Amtrobox;X;X;;X;8 bar max;;X
42;EMERSON;F79E-024M;024;320030;;;IS 5026;X;X;X;;2,8 - 8,3 bar;;X
43;EMERSON;F79E-024M;024;321326;;;IS 5026;X;X;X;;2,8 - 8,3 bar;;X
44;0;B1CU9/20;0;0;0;0;0;X;X;0;X;0;0;X
45;AMRI KSB;ACTAIR 12;12;9972324707/ 700;0;0;Amtrobox;X;X;0;;8 bar max;0;X
46;VALMET METSO;B1CU9/20;0;0;0;0;0;X;X;0;X;0;0;X
47;EMERSON;790-012;012;170187;0;0;0;X;X;0;X;5 bar;0;X
48;AMRI KSB;ACTAIR 6 R1121 1;6;76140045/0120;;;AMTROBOX;X;X;X;;10 bar max;;X
49;AMRI KSB;ACTAIR R1121;6;9972324707/800;0;0;AMTROBOX;X;X;X;;8 bar max;0;X
50;AMRI KSB;ACTAIR R1121;6;9972324707/800;0;0;AMTROBOX;X;X;X;;8 bar max;0;X
51;AMRI KSB;ACTAIR R1121;6;9972324707/800;0;0;AMTROBOX;X;X;X;;8 bar max;0;X
52;AMRI KSB;ACTAIR R1121;6;9972324707/800;0;0;AMTROBOX;X;X;X;;8 bar max;0;X
53;AMRI KSB;ACTAIR R1121;6;9972324707/800;0;0;AMTROBOX;X;X;X;;8 bar max;0;X
54;AMRI KSB;ACTAIR R1121;6;9972324707/800;0;0;AMTROBOX;X;X;X;;8 bar max;0;X
55;AMRI KSB;ACTAIR 6;6;9972609610/100;0;0;AMTROBOX;X;X;X;;0;0;X
56;AMRI KSB;Normatwin R579;;02 1 0763;;;;X;X;X;;3 bar;;X
57;AMRI KSB;ACTAIR;6;9974553509;0;0;AMTROBOX;X;X;0;X;8 bar max;0;X
58;0;ACTAIR;6;0;0;0;AMTROBOX;X;X;0;X;6 bar max;0;X
59;EMERSON;F79E;012;822413;0;0;0;X;X;X;;8 bar max;0;X
60;EMERSON;F79E;012;822447;0;0;0;X;X;X;;8 bar max;0;X
61;EMERSON;F79E;012;822449;0;0;0;X;X;X;;8 bar max;0;X
62;EMERSON;PremiAir;009;732235;0;0;I 56;X;X;X;;0;0;X
63;EMERSON;PremiAir 009;009;082443;;;IS 5026;X;X;;X;;;X
64;EMERSON;PremiAir;009;732231;0;0;I 56;X;X;X;;0;0;X
65;EMERSON;PremiAir;009;73224;0;0;I 56;X;X;X;;0;0;X
66;VALMET METSO;B1CU;6/20;9811;0;0;0;X;X;X;;8,3 bar max;0;X
67;PROCOM;0;0;0;0;X;IN5212 IN-3004-BPKG/AS;X;0;X;;6 bar;X;0
68;PROCOM;0;0;0;0;X;IN5212 IN-3004-BPKG/AS;X;0;X;;6 bar;X;0
69;PROCOM;0;0;0;0;X;IN5212 IN-3004-BPKG/AS;X;0;X;;6 bar;X;0
70;PROCOM;0;0;0;0;X;IN5212 IN-3004-BPKG/AS;X;0;X;;6 bar;X;0
71;AIR TORQUE;AT200DA F05/07-N-D-17;0;02008485N;0;0;IS 5026;X;X;X;;8 bar max;0;X
72;MASONEILAN;Micropak;0;0;X;;0;0;0;;X;2,4 bar;X;0
73;MASONEILAN;Micropak;0;06.484801-1;X;0;0;0;0;0;X;2,4 bar;X;0
74;VALMET METSO;B1JRU 6/25;6/25;A01A19041862;;X;;X;X;;;8,5 bars max;X;
75;MASONEILAN;CAMFLEX II;114 mm;0;0;X;0;0;0;0;;1,4 bar;X;0
76;MASONEILAN;CAMFLEX II;114 mm;0;0;X;0;0;0;0;;1,4 bar;X;0
77;SAPAG;DR 10-0;10;12/21530;0;0;0;0;0;0;X;10 bar max;0;X
78;SAPAG;DR 10-0;10;12/21530;0;0;0;0;0;X;;10 bar max;0;X
79;SAPAG;DP3;3;0;0;0;0;0;0;0;X;5 bar max;0;X
80;SAPAG;DP3;3;0;0;0;0;0;0;0;X;5 bar max;0;X
81;SAPAG;DP3;3;0;0;0;0;0;0;0;X;5 bar max;0;X
82;SAPAG;DR 10-0;10;12/21530;0;0;0;0;0;X;;10 bar max;0;X
83;SAPAG;DR 10-0;10;12/21530;0;0;0;0;0;0;X;10 bar max;0;X
84;SAPAG;DR 10-0;0;10/19385;0;0;0;0;0;0;X;10 bar max;0;X
85;SAPAG;DR 10-0;0;10/19385;0;0;0;0;0;0;X;10 bar max;0;X
86;SAPAG;DR 10-0;10;12/21382;0;0;0;0;0;0;X;10 bar max;0;X
87;SAPAG;DR 10-0;10;12/21382;0;0;0;0;0;0;X;10 bar max;0;X
88;SAPAG;DR 10-0;10;11/21067;0;0;0;0;0;0;X;10 bar max;0;X
89;SAPAG;DR 10-0;0;10/19385;0;0;0;0;0;0;X;10 bar max;0;X
90;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;x
91;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;X
92;SAPAG;DR 10-0;0;10/19385;0;0;0;0;0;0;X;10 bar max;0;X
93;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;X
94;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;X
95;SAPAG;DR 10-0;0;09/18537;0;0;0;0;0;0;0;0;0;X
96;SAPAG;DR 10-0;0;09/18537;0;0;0;0;0;0;0;0;0;X
97;SAPAG;DR 10-0;0;09/18537;0;0;0;0;0;0;0;0;0;X
98;SAPAG;DR 10-0;0;09/18537;0;0;0;0;0;0;0;0;0;X
99;MASONEILAN;CAMFLEX I;165 MM;4109303;X;;;;;;;3,8 bar max;X;
100;;;;;;;;;;;;;;
101;MASONEILAN;Sigma F;0;64 - 2408 - 01 - 1;0;X;0;0;0;0;;0;X;0
102;MASONEILAN;CAMFLEX II;178 mm;F-12-217037-003-01;X;0;0;0;0;X;;2,1 bar;X;0
103;MASONEILAN;CAMFLEX II;178 mm;F-12-217037-003-02;X;0;0;0;0;X;;2,1 bar;X;0
104;AMRI KSB;ACTAIR;6;RHO1121 118011;0;0;0;X;X;X;;0;0;X
105;AMRI KSB;ACTAIR R1121;6;9972324707/900;0;X;I 56;X;X;X;;10 bar max;0;X
106;AMRI KSB;ACTAIR R1121;6;9972324707/900;0;X;I 56;X;X;X;;10 bar max;0;X
107;AMRI KSB;ACTAIR R1121;6;9972324707/900;0;X;I 56;X;X;X;;8 bar max;0;X
108;AMRI KSB;ACTAIR R1121;6;9972324707/900;0;X;I 56;X;X;X;;10 bar max;0;X
109;AMRI KSB;ACTAIR;6;RHO1121 118011;0;0;IFM IEC 2002-ARKG/UP;X;X;X;;0;0;X
110;EMERSON;PremiAir 004;004;261307;0;0;IFM IS-5026;X;X;0;X;0;0;X
111;EMERSON;PremiAir 004;004;197820;0;0;IFM IS-5026;X;X;0;X;0;0;0
112;AMRI KSB;ACTAIR 6 R1121 1;6;76140045/0120;;;AMTROBOX;X;X;X;;10 bar max;;X
113;MASONEILAN;Sigma F48-21114 ;220 mm;62 873404-1;;X;;;;;;1,4 bar;X;
114;VALMET METSO;B1CU/20;20;D01A17520493;0;0;IFM IFC 2002-ARKGIUP;X;X;X;;8,3 bars max;0;X
115;AMRI KSB;ACTAIR 3;3;9973749598/100;0;0;Amtrobox;X;X;X;;8 bar max;0;X
116;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
117;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
118;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
119;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
120;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
121;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;0;0;X
122;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;0;0;X
123;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
124;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
125;AMRI KSB;ACTAIR;3;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
126;SAPAG;SP3;0;0;0;X;0;0;0;X;;8 bar max;X;0
127;SAPAG;DR 10-0;10;12/21459;0;0;0;0;0;0;X;10 bar max;0;X
128;SAPAG;DR 10-0;10;12/21459;0;0;0;0;0;0;X;10 bar max;0;X
129;SAPAG;DR 10-0;10;12/21459;0;0;0;0;0;0;X;10 bar max;0;X
130;SAPAG;DR 10-0;10;12/21382;0;0;0;0;0;0;X;10 bar max;0;X
131;SAPAG;DR 10-0;10;12/21459;0;0;0;0;0;0;X;10 bar max;0;X
132;SAPAG;DR 10-0;10;11/21067;0;0;0;0;0;0;X;10 bar max;0;X
133;EMERSON;DR 10-0 C11;0;17/23713;0;0;0;0;0;X;;10 bar max;0;X
134;EMERSON;DR 10-0 C11;0;17/23713;0;0;0;0;0;X;;10 bar max;0;X
135;SAPAG;DR 10-0;10;12/21530;0;0;0;0;0;0;X;10 bar max;0;X
136;EMERSON;DR 10-0 C11;0;17/23713;0;0;0;0;0;X;;10 bar max;0;X
137;EMERSON;DR 10-0 C11;0;17/23713;0;0;0;0;0;X;;10 bar max;0;X
138;VALMET METSO;B1CU 6/15;6/15;D01A18410051;0;X;IFC 2002;X;X;0;X;8,5 bars max;0;X
