NUM ACTIONNNEUR;FOURNISSEUR ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;N° DE SERIE ACTIONNEUR;SENS OMA;SENS FMA;TYPE CONTACTS;CONTACT OUVERTURE;CONTACT FERMETURE;CDE MANU. OUI;CDE MANU. NON;PRES. ALIM;SIMPLE EFFET;DOUBLE EFFET
521;;CAMFLEX II 35-35202;"114 mm (4""1/2)";0;0;X;0;0;0;0;;1,8 bar;X;0
522;EMERSON;PremiAIr 004;4;S/NO 3416638;0;0;0;0;0;X;;8,5 bar;0;X
523;EMERSON;PremiAIr 004;4;S/NO 3416638;0;0;0;0;0;X;;8,5 bar;0;X
524;EMERSON;PremiAIr 004;4;S/NO 3416638;;;;;;;X;8 bar;;X
525;EMERSON;PremiAIr 004;4;S/NO 3416638;;;;;;;X;8 bar;;X
526;EMERSON;796 002;002;418319;0;0;0;0;0;X;;8 bar max;0;X
527;VALMET METSO;B1CU 6/15;6/15;D01A18380487;0;X;0;X;X;0;X;8,5 bars max;0;X
528;;;;;;;;;;;;;;
529;EMERSON;796 002;;;;;;;;;x;7 bar;;X
530;EMERSON;796 002;;;;;;;;;x;7 bar;;X
531;EMERSON;796 002;;;;;;;;;;;;
532;EMERSON;760 002;0;0;0;0;0;0;0;0;;7 bar;0;X
533;EMERSON;760 002;0;0;0;0;0;0;0;0;;7 bar;0;X
534;EMERSON;PremiAIr 004;4;S/NO 3416638;0;0;0;0;0;X;;8,5 bar;0;X
535;EMERSON;PremiAIr 004;4;S/NO 3416638;0;0;0;0;0;X;;8,5 bar;0;X
536;EMERSON;PremiAIr 004;4;S/NO 3416638;;;;;;;;8 bar;;X
537;EMERSON;PremiAir 004;4;S/NO 3416638;;;;;;;X;8 bar;;X
538;EMERSON;F79E-006M;006;305896;0;0;0;0;0;X;;8 bar max;0;X
539;EMERSON;F89E-052-NO;052;0097647;;;;X;X;;X;10 bar max;;X
540;EMERSON;796-036;036;;;;IFM IS-5026;X;X;;X;10 bar max;;X
541;EMERSON;796-024;;;;;;X;X;;X;10 bar max;;X
542;EMERSON;F79E-065;65;67420;0; ;IFM;X;X;X;;8 bar max; ;X
543;EMERSON;796-036;036;;;;IFM IS-5026;X;X;;X;10 bar max;;X
544;EMERSON;796-036;;;;;;X;X;;X;10 bar max;;X
545;EMERSON;796-036;;;;;;X;X;;X;10 bar max;;X
546;EMERSON;796-036;036;;;;IFM IS-5026;X;X;;X;10 bar max;;X
547;EMERSON;F79E-036;36;49284;0; ;IFM;X;X;X;;8 bar max; ;X
548;EMERSON;796-024;024;;;;IFM IS-5026;X;x;;x;8 bar max;;X
549;EMERSON;796-024;024;;;;IFM IS-5026;X;X;;X;8 bar max;;X
550;;;;;;;;;;;;;;
551;EMERSON;F79E-036;36;49291;0; ;IFM;X;X;X;;8 bar max; ;X
552;EMERSON;796-024;024;;;;IFM IS-5026;X;X;;X;8 bar max;;X
553;EMERSON;F89E-020;020;0222301;;;IFM IS-5026;X;X;;X;8 bar max;;X
554;EMERSON;796-024;024;;;;IFM IS-5026;X;X;;X;8 bar max;;X
555;EMERSON;F79E-024M;024;;;;IFM IS-5026;X;X;;X;10 bar max;;X
556;EMERSON;F89E-020;020;0129242;0;0;Tyco IFM IS- 5026;X;X;0;X;10 bar;0;X
557;EMERSON;79E 36M;36;347940;0;0;IFM;x;x;X;;8 bar max;0;X
558;EMERSON;796-036;;;;;;X;X;;X;10 bar max;;X
559;EMERSON;796-036;036;;;;IFM IS-5026;X;X;;X;10 bar max;;X
560;EMERSON;796-036;;;;;;X;X;;X;10 bar max;;X
561;EMERSON;796-036;036;;;;IFM IS-5026;X;X;;X;8 bar max;;X
562;EMERSON;796-036;036;;;;IFM IS-5026;X;X;;X;10 bar max;;X
563;EMERSON;796-036;036;;;;IFM IS-5026;X;X;;X;10 bar max;;X
564;EMERSON;F79E-036M;036;354835;;;IFM IS-5026;X;X;;X;10 bar max;;X
565;EMERSON;79E-06501XXOPM00;065;781038;0;0;IFM IS-5026;X;X;X;;8 bar max;0;X
566;EMERSON;796-024;024;;;;IFM IS-5026;X;X;;X;8 bar max;;X
567;EMERSON;F79E-036;36;49281;0; ;IFM;X;X;X;;8 bar max; ;X
568;EMERSON;796-024;024;;;;IFM IS-5026;X;X;;X;10 bar max;;X
569;EMERSON;796-024;024;;;;IFM IS-5026;X;X;;X;8 bar max;;X
570;EMERSON;F79E;024;;;;HK-14;X;X;;X;8 bar max;;X
571;EMERSON;796-024;024;;;;IFM IS-5026;X;X;;X;8 bar max;;X
572;EMERSON;796-024;024;;;;IFM IS-5026;X;X;;X;10 bar max;;X
573;EMERSON;F79E-024M;024;359135;;;IFM IS-5026;X;X;;X;10 bar max;;X
574;EMERSON;F79E-036M;036;747577;0;0;Tyco IFM IS- 5026;X;X;0;X;10 bar;0;X
575;VALMET METSO;B1CU 6/15;6/15;T4005753599,01;0;X;QN2NK05HDM;x;x;0;x;6 bar max;0;X
576;VALMET METSO;B1CU 6/15;6/15;T4005753601.01;0;X;QN2NK05HDM;X;X;0;X;6 bar max;0;X
577;VALMET METSO;B1CU 6/15;6/15;T4005753602.01;0;X;QN2NK05HDM;X;X;0;X;6 bar max;0;X
578;VALMET METSO;B1CU 6/15;6/15;T4005753603.01;0;X;QN2NK05HDM;X;X;0;X;6 bar max;0;X
579;VALMET METSO;B1CU 6/15;6/15;T4005753604,01;0;X;QN2NK05HDM;X;X;0;X;6 bar max;0;X
580;TECOFI;;>125;;;;;;;;;5-7 bar;;
581;TECOFI;;>125;;;;;;;;;5-7 bar;;
582;;;;;;;;;;;;;;
583;;;;;;;;;;;;;;
584;TECOFI;;>125;;;;;;;;;5-7 bar;;
585;;;;;;;;;;;;;;
586;TECOFI;;>125;;;;;;;;;5-7 bar;;
587;;;;;;;;;;;;;;
588;EMERSON;F89E-006 DA;;2032445;;;;;;;;8,3 bar max;;
589;;;;;;;;;;;;;;
590;EMERSON;F89E-014 DA;;2024607;;;;;;;;8,3 bar max;;
591;EMERSON;F89E-014 DA;;2024607;;;;;;;;8,3 bar max;;
592;EMERSON;F89D-141 DA;;2020103;;;;;;;;?;;
593;EMERSON;F89E-006 DA;;2032443;;;;;;;;8,3 bar max;;
594;EMERSON;F89D-004 DA;;2025829;;;;;;;;8,3 bar max;;
595;EMERSON;F89D-004 DA;;2025832;;;;;;;;8,3 bar max;;
596;EMERSON;F89D-004 DA;;2024102;;;;;;;;8,3 bar max;;
597;VALMET METSO;ND9100/I56;;;;;;;;;;8,5 bar max;;
598;VALMET METSO;ND9100/I56;;;;;;;;;;8,5 bar max;;
599;;;;;;;;;;;;;;
600;TECOFI;;>125;;;;;;;;;5-7 bar;;
601;;;;;;;;;;;;;;
602;EMERSON;F89D-004 DA;;2025830;;;;;;;;8,3 bar max;;
603;EMERSON;F89D-004 DA;;2025827;;;;;;;;8,3 bar max;;
604;EMERSON;F89D-004 DA;;2025837;;;;;;;;8,3 bar max;;
605;TECOFI;;>125;;;;;;;;;5-7 bar;;
606;TECOFI;;>125;;;;;;;;;5-7 bar;;
607;TECOFI;;>125;;;;;;;;;5-7 bar;;
608;TECOFI;;>125;;;;;;;;;5-7 bar;;
609;TECOFI;;>125;;;;;;;;;5-7 bar;;
610;TECOFI;;>125;;;;;;;;;5-7 bar;;
611;TECOFI;;>125;;;;;;;;;5-7 bar;;²
612;EMERSON;F89D-085 DA;;0179032;;;;;;;;8,3 bar max;;
613;EMERSON;F89D-085 DA;;0055990;;;;;;;;8,3 bar max;;
614;;;;;;;;;;;;;;
615;;;;;;;;;;;;;;
616;;;;;;;;;;;;;;
617;;;;;;;;;;;;;;
618;;;;;;;;;;;;;;
619;;;;;;;;;;;;;;
620;;;;;;;;;;;;;;
621;;;;;;;;;;;;;;
622;;;;;;;;;;;;;;
623;;;;;;;;;;;;;;
624;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;
626;;;;;;;;;;;;;;
627;;;;;;;;;;;;;;
628;;;;;;;;;;;;;;
629;AMRI KSB;ACTAIR R1122 1;12;76168514/0120;0;0;LEF 430-00-22-16-01-F05-LC1;X;X;0;X;10 bar max;0;X
630;AMRI KSB;ACTAIR R1122 1;12;76168514/0120;0;0;LEF 430-00-22-16-01-F05-LC1;X;X;0;X;10 bar max;0;X
631;AMRI KSB;ACTAIR R1122 1;12;76168514/0120;0;0;LEF 430-00-22-16-01-F05-LC1;X;X;0;X;10 bar max;0;X
632;AMRI KSB;ACTAIR R1122 1;12;76168514/0120;0;0;LEF 430-00-22-16-01-F05-LC1;X;X;0;X;10 bar max;0;X
633;MASONEILAN;;0;63.541505-1;0;X;0;0;0; ;X;1,4 bar;0;0
634;MASONEILAN;0;0;64-9648-01-1;0;X;0;0;0;X;0;2,1 bar;X;0
635;MASONEILAN;CAMFLEX II;0;62-5571-02-1;0;X;0;0;0;X;0;1,4 bar;X;0
636;MASONEILAN;0;0;62-8734-05-1;0;0;0;0;0;X;0;1,4 bar;X;0
637;VALMET METSO;BC 6/25;0;0;0;0;0;0;0;0;0;0;0;X
638;SCHLUMBERGER SEREG VANNES;Maxflo ;0;T 4570;0;X;0;0;0;X;0;1.4 bar;X;0
639;MASONEILAN;CAMFLEX II;;F-10-,212500-001-03;0;X;0;0;0;X;0;1,4 bar;X;0
640;MASONEILAN;CAMFLEX II;0;02-4848-01-1;0;X;0;0;0;X;0;1,8 bar;X;0
641;MASONEILAN;CAMFLEX II;0;02-4848-01-2;0;X;0;0;0;X;0;1,8 bar;X;0
642;0;8013-357;0;62-873404-1;0;0;0;0;0;0;0;1,4 BAR;0;0
643;SAPAG;SP 15;0;7802089;0;0;0;0;0;0;0;8 bar max;0;0
644;MASONEILAN;CAMFLEX II;0;02-4848-01-1;0;X;0;0;0;X;0;1,8 bar;X;0
645;MASONEILAN;CAMFLEX II;0;02-4848-01-2;0;X;0;0;0;X;0;1,8 bar;X;0
646;VALMET METSO;B1CU;6/15;A01A04211408;0;0;0;0;0;X;;8,3 bar max;0;X
647;VALMET METSO;B1CU 6/25;6/25;K01A08263016;;;;;;X;;8,3 bar max;;X
648;VALMET METSO;B1CU 11/40;11/40;D01A09030104;0;0;0;0;0;X;;8,3 bars max;0;X
649;MASONEILAN;CAMFLEX II;114 mm;64-2408-03-1;;X;;;;;;1,4 bar;X;
650;MESTO;B1CU;17;0;0;;VALMET METSO;x;x;0;x;8,5 bars maxi;0;x
651;FISHER;1052;;EU 03195097;X;;;;;;;3,8 bar max;X;
652;FISHER;1052;33;EU03232878;X;;;;;;;3,8 bar max;X;
653;MASONEILAN;CAMFLEX II;114 mm;0;0;X;0;0;0;0;;1,4 bar;X;0
654;MASONEILAN;CAMFLEX II;114 mm;0;0;X;0;0;0;0;;1,4 bar;X;0
655;MASONEILAN;MiniTork II;0;0;0;X;0;0;0;X;0;1.5 bar;X;0
656;VALMET METSO;BC 6/15;6/15;0;0;0;0;0;0;0;X;8,5 B MAX;0;X
657;MASONEILAN;Minitork II;;37412;;X;;;;;;1,8 bar;X;
658;MASONEILAN;SIGMA F;0;48-21114;0;X;0;0;0;0;;1,4 bar;X;0
659;MASONEILAN;MiniTork II;0;0;0;X;0;0;0;X;;1,7 bar max;X;0
660;MASONEILAN;Sigma F48-21114 ;220 mm;63 541 504-1;X;0;0;0;0;0;;2,41 bar max;X;0
661;EMERSON;F79E-024M;24;337020;;X;;X;X;X;;6 bar max;X;
662;FISHER;1052;33;EU03271681;X;;;;;;;3,8 bar max;;
663;MASONEILAN;Micropak;0;04237501-1;0;X;0;0;0;0;;1,8 bar;X;0
664;ABO Valve;DR 00150U;0;16227260;0;0;0;0;0;X;;0;0;X
665;ABO Valve;DR 00150U;0;16227262;0;0;0;0;0;X;;0;0;X
666;VALMET METSO;B1CU13/55;13/55;D01A12170492;0;0;0;0;0;0;;8 bar max;0;X
667;SAPAG;DR 10-0;10;12/21530;;;;;;;X;10 bar max;;X
668;SCHLUMBERGER SEREG VANNES;Maxflo ;SM3;0;X;0;0;0;0;0;;3 bar max;X;0
669;MASONEILAN;CAMFLEX II;114 mm;64-2408-02-1;;X;;;;;;1,4 bar;X;
670;SAPAG;SR 20-0/5 ;20;05/12294;X;0;LIMITBOX P6;X;X;0;X;10 bar max;X;0
671;VALMET METSO;BC;12/25;;0;0;0;0;0;X;;10 bar max;0;X
672;SCHLUMBERGER SEREG VANNES;Maxflo ;SM3;T 5547;X;;;;;;;3 bar;X;
673;SCHLUMBERGER SEREG VANNES;Maxflo ;SM3;T 5543;X;;;;;;;3 bar;X;
674;MASONEILAN;0;0;21-7037-02;0;X;0;0;0;0;;2,7 bar;0;0
675;;CAMFLEX 35-35202;"152 mm (6"")";02-4848-02-1;0;X;0;0;0;0;;1,8 bar;X;0
676;MASONEILAN;CAMFLEX II 35-35202;"152 mm (6"")";02-4848-02-2;0;X;0;0;0;0;;1,8 bar;X;0
677;VALMET METSO;BC 6/25;6;;;;;;;X;;8,4 bar max;;X
678;CCI VALVE;SC/V;;A9600303;;X;;;;X;;7 bar max;;X
679;MASONEILAN;Sigma F48-21114;0;64-9270-01-1;X;0;0;0;0;0;;1,4 bar;X;0
680;MASONEILAN;Camflex II;152 MM;66-6939-01-1;;X;;;;;;1,4 bar;x;
681;VALMET METSO;BC 6/20;6;;;;;;;X;;8,5 bar;;X
682;CCI VALVE;0;0;A1704770;0;X;0;0;0;X;;150 PSI MAX;0;X
683;SAPAG;SR 60-6/5;60;0;0;X;LIMITBPX P6;X;X;0;X;10 bar max;X;0
684;EMERSON;790-024S;024; ;X;;IFM IS-5026;X;X;X;;5,5 bar;X;
685;MASONEILAN;;;;X;;;;;X;;1,4 bar;X;
686;EMERSON;PremiAir 025;0;451399;0;0;Tyco IFM IS- 5026;X;X;0;X;0;0;X
687;TECOFI;0;>125;0;0;0;0;0;0;0;0;5-7 bar;0;0
688;EMERSON;F89E-006  DA;0;2032964;0;0;0;0;0;0;X;8,3 bar Max;0;X
689;EMERSON;PremiAir  009;009;.082457;0;0;IS 5026;X;X;0;X;0;0;X
690;MASONEILAN;CAMFLEX II;0;F-12-215682-001-06;0;X;0;0;0;X;0;1,4 bar;X;0
