NUM CORPS;FOURNISSEUR CORPS;TYPE CORPS;DN;PN;N° DE SERIE CORPS;CV;NORME BRIDES;CODE;MATIERE ARBRE;MATIERE SIEGE;MATIERE  ORG. REGLANT;M;MATIERE GARNITURES;TYPE GARNITURES
635;MASONEILAN;35-35202;25;10;0;0;0;0;0;0;0;A351 GR CF8M;0;0
636;MASONEILAN;35 - 35202;40;0;62-8734-05-1; ;0;0;0;0;0;0;0;0
637;VALMET METSO;L12A150AA;150;0;0;0;0;0;0;0;0;0;0;0
638;SCHLUMBERGER SEREG VANNES;Maxflo;150;0;0;0;0;0;0;0;0;0;0;0
639;MASONEILAN;35-35212;25;ISO PN100;0;0;0;0;0;0;0;A351 GR CF8M ;0;0
640;MASONEILAN;0;50;0;0;0;0;0;0;0;0;0;0;0
641;MASONEILAN;0;50;;0;0;0;0;0;0;0;0;0;0
642;0;0;0;0;0;0;0;0;0;0;0;0;0;0
643;0;0;0;0;0;0;0;0;0;0;0;0;0;0
644;MASONEILAN;0;50;0;0;0;0;0;0;0;0;0;0;0
645;MASONEILAN;0;50;;0;0;0;0;0;0;0;0;0;0
646;VALMET METSO;SPHERIQUE R1;50;25;HO18911;0;0;RAA050AS;0;STEL;329;CF8M;PTFE;0
647;VALMET METSO;LW;80;;;;;LW7LBA080AAJAT;;INCOLOY 824;316 SS;CF8M;;
648;VALMET METSO;LW;200;0;0;0;0;LW7LBA200AAJAT;0;INCOLOY 825;316 SS;CF8M;0;0
649;MASONEILAN;35-35202;25;ANSI 600 RF;;;;;;316;STEL 6;A216 GR WCC;PTFE/KEV;
650;VALMET METSO;L12A;350;25;0;0;0;0;0;0;INOX 316SS;CF8M;0;0
651;FISHER;V 500;50;40;;;;;;COCR 6;COCR 6;A216 WCC;PTFE;
652;FISHER;V 500;50;40;EU03232878;57,4;;;;CDCR 6;;WCC;PTFE/CARB;1R5795X0012
653;MASONEILAN;35-35212;25;ISO PN100;F-10-212500-001-03;15;0;0;ANSI 316;STEL n°6;STEL 6;A351 GR CF8M;0;0
654;MASONEILAN;35-35212;25;ISO PN100;F-10-212500-001-03;15;0;0;ANSI 316;STEL n°6;STEL 6;A351 GR CF8M;0;0
655;MASONEILAN; ;150;10;60.238101-1;0;0;0;0;0;0;A351 GR CF8M;0;0
656;VALMET METSO;RI;25;0;0;0;0;R1LA 01 AJJL;0;NELAL;329SS;CF8M;0;0
657;MASONEILAN;serie 37200;250;10;;;;;;;A351 GR CF8M;;PTFE/CARB;3260 LM LATTYFLON
658;MASONEILAN;0;50;ISO PN100;0;15;0;0;0;AISI316 STEL.E;AISI316 STEL.E;A351 GR CF8M;0;0
659;MASONEILAN; ;150;10;61-860906-2;0;0;0;0;0;0;A216 GR WCC;0;0
660;MASONEILAN;0;50;50;0;26;ISO E1-E1;0;ANSI 410;AISI 410;ANSI 410;A216 GR WCC;0;0
661;EMERSON;FIG 14 102;100;10;;;;;INOX;EPDM;INOX;FONTE GG25;;JOINT A LEVRES
662;FISHER;V 500;25;cl 300;EU03271681;5,01;PN50 DIN E1;rR 30006;XM-19 SST;ALLOY 6;ALLOY 6;WCC;PTFE;
663;MASONEILAN;Série 29000;25;250;0;2,3;Taraudée 34 mm;0;0;ASTM A564 Gr 630;316;ASTM A182 Gr F316;Téflon;0
664;ABO Valve;924B;150;16;176 063;0;0;0;Inox;EPDM-FDA;CFM 8;Fonte;0;0
665;ABO Valve;924B;150;16;176 071;0;0;0;Inox;EPDM-FDA;CFM 8;Fonte;0;0
666;VALMET METSO;L12;200;0;L12A200AAT;0;0;0;0;0;0;0;0;0
667;SAPAG;RTS 68411;20;80;14/699228 4;;Taraudé 3/4;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;
668;SCHLUMBERGER SEREG VANNES;Maxflo;80;0;T 8009;0;0;MTL 011A131A;0;PTFE;17-4 PH;A216 WCB;PTFE;Rainex
669;MASONEILAN;35-35202;25;ANSI 600 RF;;;;;;316;STEL 6;A216 GR WCC;PTFE/CARB;LATTYFLON 3260LM
670;SAPAG;RTS 67445A;32;10;05/232842 1;0;ISO PN 10 A 40;0;0;0;;0;0;
671;VALMET METSO;L1C;200;0;0;0;0;L1CMA 08 AAJA;SS 329 (J);INCOLOY 825 (A);CF8M (A);CF8M (A);PTFE;0
672;SCHLUMBERGER SEREG VANNES;Maxflo;150;10;;;;MTPD - 11A111E;;F 316;17-4 PH;A216 WCB;PTFE;
673;SCHLUMBERGER SEREG VANNES;Maxflo ;200;10;;;;MTQD 11A111E;;F 316;17-4 PH;A216 WCB;PTFE;
674;MASONEILAN;8821714;80;10;N-13-8251-001-01;0;0;0;0;316 ST;316 ST;CF8M;0;0
675;;CAMFLEX II;80;50;02-4848-02-1;135;ISO PN 50;0;ANSI 316;STEL n°6;ANSI 316L;A216 GR WCC;0;
676;MASONEILAN;CAMFLEX II;80;50;02-4848-02-2;135;ISO PN 50;0;ANSI 316;STEL n°6;ANSI 316L;A 216 GR WCC;CARB/TEFLON;3260 LM
677;VALMET METSO;CK;150;10;825W-51-2236MT;;;;1.4571;MTFE;1,4408;10 619;PTFE;
678;CCI VALVE;VSC-90B;P1: 150 P2: 200 P3: 25;P1: 100 P2: 50 P3: 100;275014-1;;;;;13CrMO44/HS25;X19CrMOVNbN111;SS 142224;GRAPHITE;
679;MASONEILAN;Série 21 000;25;50;0;3,8;ISO PN50 B1;0;0;0;0;A216 GR WCC;CARBONE/PTFE;LATTY 3260 LM
680;MASONEILAN;;80;ANSI 600;;;;;;AnSI 316 L STEL;;A216 GR WCC;;
681;VALMET METSO;R1;100;25;359244;;;R1LA 04 AJJL;329 SS;316+CELS 50NB;329 SS;CF8M;PTFE;
682;CCI VALVE;VST-56BSE;0;0;A17013SE-01;0;0;DET/DES 45/4 BARS;0;0;0;0;0;0
683;SAPAG;RTS 67442A;80;10;05/232846 1;0;0;0;0;0;0;0;0;0
684;EMERSON;FIG 14 102;150;10; ;;;;INOX;EPDM;INOX 316;FONTE FT125;;JOINT A LEVRES
685;MASONEILAN;35-35202;25;ANSI 600 RF;;2,8;;;;;;;;
686;EMERSON;FIG 320 112;200;10;0;0;0;0;INOX;EPDM;0;0;0;0
