NUM POSITIONNEUR;FOURNISSEUR POSITIONNEUR;INTELLIGENT;ELECTRIQUE;PNEUMATIQUE;type positionneur;N° DE SERIE;SIGNAL ENTREE;PRES. ALIM.;SIGNAL SORTIE;REPERE CAME;FACE CAME;ACTION DIRECTE;ACTION INVERSE;LOI;FERMEE A;OUVERTE A
43;;;;;;;;;;;;;;;;
44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;;;;;;;;;;;;;;;;
49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;AMRI KSB;;;;;;;;;;;;;;;
57;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;VALMET METSO;X;; ;ND 9103 HN/I56; ;4 - 20 mA;8 bar max;0;0;0;0;0;Linéaire;4 mA;20 mA
60;VALMET METSO;X;; ;ND 9103 HN/I56; ;4 - 20 mA;8 bar max;0;0;0;0;0;Linéaire;4 mA;20 mA
61;VALMET METSO;X;; ;ND 9103 HN/I56; ;4 - 20 mA;8 bar max;0;0;0;0;0;Linéaire;4 mA;20 mA
62;AMRI KSB;X;0;0;ND 9102 HN/I56;PH16140665;4 - 20 mA;8 bar max;0;0;0;X;0;linéaire;4 mA;20 mA
63;;;;;;;;;;;;;;;;
64;AMRI KSB;X;0;0;ND 9102 HN/I56;PH16480331;4 - 20 mA;8 bar max;0;0;0;x;0;Linéaire;4 mA;20 mA
65;VALMET METSO;X;0;0;ND 9102 HN/I56;PH16480330;4 - 20 mA;8 bar max;0;0;0;X;0;linéaire;4 mA;20 mA
66;VALMET METSO;X;;0;ND 9102HN/I56;PH16140664;4 - 20 mA;7 bar max;0;0;0;0;X;Linéaire;20 mA;4 mA
67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;MASONEILAN;0;0;X;0;0;0,2 - 1 bar;2,4 bar;0;0;0;0;0;Linéaire;0,6 bar;0,2 bar
73;MASONEILAN;0;0;X;0;0;0,2 - 1 bar;2,4 bar;0;0;0;0;0;Linéaire;0,6 bar;0,2 bar
74;SCHLUMBERGER;X;;;ND9102HN/I56;PH1904141;;8 bars max;;;;x;;Linéaire;4 mA;20 mA
75;MASONEILAN;0;X;0;8013;51933550452;4 - 20 mA;1,4 bar;0,48 - 1,03 bar;2;0;X;0;Egal pourcentage;4 mA;20 mA
76;MASONEILAN;0;X;0;8013;51933550450;4 - 20 mA;1,4 bar;0,48 - 1,03 bar;2;0;X;0;Egal pourcentage;4 mA;20 mA
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;MASONEILAN;;;X;7600;;0,2 - 1 bar;3,8 bar max;;;;;x;Linéaire;0,2 bar;1 bar
100;;;;;;;;;;;;;;;;
101;MASONEILAN;0;X;0;8013;64 - 2408 - 01 - 1;4 - 20 mA;1,4 bar;0,48 - 1,03 bar;1;0;X;0;Linéaire;4 mA;20 mA
102;METSO;X;0;0;ND 9106 HN;PH12510284;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
103;METSO;X;0;0;ND 9106 HN;PH12510283;4 - 20 mA;8 bar max;0;0;0;x;0;Linéaire;4 mA;20 mA
104;AMRI KSB;X;0;0;ND 9102HN;PH10150301;4 - 20 mA;1,4 à 8 bar;0;0;0;x;0;Linéaire;4 mA;20 mA
105;VALMET METSO;X;0;0;ND 9103 HN/I56;PH13020398;4 - 20 mA;1,4 à 8 bar;0;0;0;X;0;Linéaire;4 mA;20 mA
106;VALMET METSO;X;0;0;ND 9103 HN/I56;PH13020395;4 - 20 mA;1,4 à 8 bar;0;0;0;X;0;Linéaire;4 mA;20 mA
107;VALMET METSO;X;0;0;ND 9103 HN/I56;PH13020399;4 - 20 mA;8 bar max;0;0;0;x;0;Linéaire;4 mA;20 mA
108;VALMET METSO;X;0;0;ND 9103 HN/I56;PH13020393;4 - 20 mA;1,4 à 8 bar;0;0;0;X;0;Linéaire;4 mA;20 mA
109;AMRI KSB;X;0;0;ND 9102 HN/I56;PH10150304;4 - 20 mA;0;0;0;0;0;0;Linéaire;4 mA;20 mA
110;AMRI KSB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;AMRI KSB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;;;;;;;;;;;;;;;;
113;MASONEILAN;;X;;;62-557101-2;4 - 20 mA;1,4 bar;0,48 - 1,03 bar;1;;X;;Linéaire;4 mA;20 mA
114;VALMET METSO;X;0;0;ND9102HN/I56;PH18110208;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
