ATELIER;Repère;AFFECTATION;MACHINE;N° COMMANDE;DATE ;FOURNISSEUR  VANNE;NUM POSITIONNEUR;NUM CORPS;NUM ACTIONNNEUR;VANNES TOR;VANNES REG;ORGANE  REGLANT;DATE ACHAT;FREQ. REVISION;VUE EN;A VOIR EN;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 11 22 011,6;BY PASS MC1 POMPE 3 EVBYPASS1;Cuites de 1er jet;1256AR;12/11/12;AMRI KSB;45;45;45;TOR; ;PAPILLON;2012;12;0;2024;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV1122011.0;BY PASS MC1 POMPE 3 EVBYPASS3;Cuites de 1er jet;2248AR;11/15/22;VALMET METSO;46;46;46;TOR;0;0;2022;15;2023;2038;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 11 03 0728;By-pass pompe affinage n°1;Turbines affinage;0;12/31/99;EMERSON;47;47;47;0;PAPILLON;PAPILLON;0;100;2016;2116;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 11 03 0729;By-pass pompe affinage n°2;Turbines affinage;030030 AR;5/18/03;AMRI KSB;48;48;48;TOR;;PAPILLON;2003;100;2016;2116;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 19 22 000.1;Casse vide atmosphérique cuite de 1er jet n°1;Cuites de 1er jet;1256AR;12/11/12;AMRI KSB;49;49;49;TOR; ;PAPILLON;2012;12;2013;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 19 22 002.1;Casse vide atmosphérique cuite de 1er jet n°2;Cuites de 1er jet;1256AR;12/11/12;AMRI KSB;50;50;50;TOR; ;PAPILLON;2012;12;2013;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 19 22 004.1;Casse vide atmosphérique cuite de 1er jet n°3;Cuites de 1er jet;1256AR;12/11/12;AMRI KSB;51;51;51;TOR; ;PAPILLON;2012;12;2013;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 19 22 008.1;Casse vide atmosphérique cuite de 1er jet n°4;Cuites de 1er jet;1256AR;12/11/12;AMRI KSB;52;52;52;TOR; ;PAPILLON;2012;12;2013;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 19 22 010.1;Casse vide atmosphérique cuite de 1er jet n°5;Cuites de 1er jet;1256AR;12/11/12;AMRI KSB;53;53;53;TOR; ;PAPILLON;2012;12;2013;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 19 22 012.1;Casse vide atmosphérique cuite de 1er jet n°6;Cuites de 1er jet; 1256AR;12/11/12;AMRI KSB;54;54;54;TOR; ;PAPILLON;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Casse vide atmosphérique cuite de 2ème jet n°3;Cuites de 2ème jet;1422AR;2/12/14;AMRI KSB;55;55;55;0;REG;PAPILLON;2014;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;;Casse vide atmosphèrique cuite n° 6;Cuites de 1er jet;;;AMRI KSB;56;56;56;TOR;;PAPILLON ;;100;2010;2110;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 19 22 026.1;Casse vide atmospherique cuites de 2ème jet n° 1;Cuites de 2ème jet;0;3/1/21;AMRI KSB;57;57;57;TOR;non;0;2021;10;2021;2031;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 19 22 028.1;Casse vide atmospherique cuites de 2ème jet n° 2;Cuites de 2ème jet;0;3/1/21;AMRI KSB;58;58;58;TOR;non;inox;2021;10;2021;2031;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0574;Casse vide vapeur cuite de 1er jet n°3;Cuites de 1er jet;1262AR;12/12/12;EMERSON;59;59;59;;REG;PAPILLON;2013;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0578;Casse vide vapeur cuite de 1er jet n°4;Cuites de 1er jet;1262AR;12/12/12;EMERSON;60;60;60;;REG;PAPILLON;2013;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0580;Casse vide vapeur cuite de 1er jet n°5;Cuites de 1er jet;1262AR;12/12/12;EMERSON;61;61;61;;REG;PAPILLON;2013;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0630;Casse vide vapeur cuite de 2ème jet n°1;cuites de 2ème jet;1652AR;12/22/16;EMERSON;62;62;62;0;REG;PAPILLON;2016;100;2017;2117;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 03 0219;Casse vide vapeur cuite de 1er jet n°6;cuites de 1er jet;030031 AR;6/19/03;EMERSON;63;63;63;TOR;;PAPILLON;2003;20;2014;2034;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0638;Casse vide vapeur cuite de 2ème jet n°2;cuites de 2ème jet;1652AR;12/22/16;EMERSON;64;64;64;0;REG;PAPILLON;2016;100;2017;2117;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0646;Casse vide vapeur cuite de 2ème jet n°3;cuites de 2ème jet;1702AR;1/10/17;EMERSON;65;65;65;0;REG;PAPILLON;2017;100;2017;2117;;;;;;;;;;;;;;;;;;;;;
Epuration;AV 12 02 0019;PH 2ème carbonatation ;Caisse 2ème carbonatation;980175AR;2/25/98;VALMET METSO;66;66;66;0;REG;PAPILLON;1998;100;2017;2117;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Clairçage JAE turbine 1er jet n°1;Turbines de 1er jet;15091DT;5/26/15;FBC;67;67;67;0; ;BOULE;2015;20;2015;2035;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Clairçage JAE turbine 1er jet n°2;Turbines de 1er jet;15091DT;5/26/15;FBC;68;68;68;0; ;BOULE;2015;20;2015;2035;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Clairçage JAE turbine 1er jet n°3;Turbines de 1er jet;15091DT;5/26/15;FBC;69;69;69;0; ;BOULE;2015;20;2015;2035;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Clairçage JAE turbine 1er jet n°4;Turbines de 1er jet;15091DT;5/26/15;FBC;70;70;70;0; ;BOULE;2015;20;2015;2035;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 12 0087;Clairçage turbine de 1er jet n°1;Turbines de 1er jet ;20245;2/28/02;CORRI SERVAIS;71;71;71;TOR;0;BOULE;2002;99;2009;2108;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 01 02 840;Dilution concentrateur à liqueur standard;Concentrateur à liqueur standard;0;12/31/99;MASONEILAN;72;72;72;;REG;CLAPET;0;10;2015;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 01 02 0838;Dilution concentrateur de stockage;Concentrateur de stockage;0;12/31/99;MASONEILAN;73;73;73;;REG;CLAPET;0;10;2015;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 03 0304;Dilution liqueur standard ap refondoir;Bac de refonte;1842AR;12/13/18;VALMET METSO;74;74;74;;REG;OPERCULE;2018;10;2018;2028;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Empattage turbine de 3ème jet n°1 BMA;Turbines de 3ème jet;0;12/31/99;MASONEILAN;75;75;75;0;REG;OBTURATEUR;2010;10;2018;2028;;;;;;;;;;;;;;;;;;;;;
Cristallisation;FV 07 03 1004;Empattage turbine de 3ème jet n°2 K3300;Turbines de 3ème jet;1047 AR;9/1/10;MASONEILAN;76;76;76;0;REG;OBTURATEUR;2010;10;2016;2026;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage des hublôts cuite de 1er jet n°1;Cuites de 1er jet;1416AR;2/3/14;SAPAG;77;77;77;TOR; ;BOULE;2014;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage des hublôts cuite de 1er jet n°2;Cuites de 1er jet;1416AR;2/3/14;SAPAG;78;78;78;TOR; ;BOULE;2014;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage des hublôts cuite de 1er jet n°3;Cuites de 1er jet;0;12/31/99;SAPAG;79;79;79;TOR; ;BOULE;0;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage des hublôts cuite de 1er jet n°4;Cuites de 1er jet;0;12/31/99;SAPAG;80;80;80;TOR; ;BOULE;0;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage des hublôts cuite de 1er jet n°5;Cuites de 1er jet;0;12/31/99;SAPAG;81;81;81;TOR; ;BOULE;0;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage des hublôts cuite de 1er jet n°6;Cuites de 1er jet;1416AR;2/3/14;SAPAG;82;82;82;TOR; ;BOULE;2014;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Lavage des hublôts cuite de 2ème jet n°3;Cuites de 2ème jet;1416AR;2/3/14;SAPAG;83;83;83;TOR;   ;BOULE;2014;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 000.4;Lavage eau faisceau cuite de 1er jet n°1;Cuites de 1er jet;10011AR;2/19/10;SAPAG;84;84;84;TOR;0;BOULE;2010;20;0;2030;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 002.4;Lavage eau faisceau cuite de 1er jet n°2;Cuites de 1er jet;10011AR;2/19/10;SAPAG;85;85;85;TOR;0;BOULE;2010;20;0;2030;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 004.4;Lavage eau faisceau cuite de 1er jet n°3;Cuites de 1er jet;1261AR;12/14/12;SAPAG;86;86;86;TOR; ;BOULE;2012;10;2018;2028;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 008.4;Lavage eau faisceau cuite de 1er jet n°4;Cuites de 1er jet;1261AR;12/14/12;SAPAG;87;87;87;TOR; ;BOULE;2012;10;2018;2028;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 010.4;Lavage eau faisceau cuite de 1er jet n°5;Cuites de 1er jet;1261AR;12/14/12;SAPAG;88;88;88;TOR; ;BOULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 012.5;Lavage eau faisceau cuite de 1er jet n°6;Cuites de 1er jet;10011AR;2/19/10;SAPAG;89;89;89;TOR;0;BOULE;2010;10;2018;2028;;;;;;;;;;;;;;;;;;;;;
