ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;N° COMMANDE;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;typeVannes;A VOIR EN
278;Ecumes eaux traitées;bac eaux traitées;278;4;278;NULL;950556AR;10;2 EV27 01 0440;1995;2008;99;PAPILLON;TOR;2107
279;Injection formol milieu diffuseur;Diffuseur;279;4;279;NULL;970301 AR;21;EV 04 01 0893;1997;2007;100;BOULE;TOR;2107
280;Injection formol queue;Diffuseur;280;4;280;NULL;970301 AR;21;EV 04 01 0899;1997;2007;100;BOULE;TOR;2107
281;Injection formol tête chaude;Diffuseur;281;4;281;NULL;970301 AR;21;EV 04 01 0898;1997;2007;100;BOULE;TOR;2107
282;Injection formol tête froide;Diffuseur;282;4;282;NULL;970301 AR;21;EV 04 01 0897;1997;2007;100;BOULE;TOR;2107
283;Lavage couronne coupe racine n°1;Coupes racines;283;4;283;NULL;NULL;21;EV 15 01 A24,3;1991;2013;100;BOULE;TOR;2113
284;Lavage couronne coupe racines n°4;Coupes racines;284;4;284;NULL;NULL;21;EV 15 01 A28,3;1991;2013;100;BOULE;TOR;2113
285;Lavage droit presse n°1;Presses;285;4;285;285;0721 AR;10;EV 01 01 033,7;2007;2018;10;PAPILLON;TOR;2028
286;Lavage droit presse n°2;Presses;286;4;286;NULL;940288 AR;10;EV 01 01 032,1;1999;2020;10;PAPILLON;TOR;2030
287;Lavage droit presse n°3;Presses;287;4;287;NULL;990288 AR;10;EV 01 01 032,4;1999;NULL;100;PAPILLON;TOR;2099
288;Lavage droit presse n°4;Presses;288;4;288;NULL;990288 AR;10;EV 01 01 032,7;1999;NULL;100;PAPILLON;TOR;2099
289;Lavage droit presse n°5;Presses;289;4;289;NULL;990288 AR;10;EV 01 01 033,2;1999;NULL;100;PAPILLON;TOR;2099
290;Lavage droit presse n°8;Presses;290;4;290;290;NULL;10;EV 01 01 033,5;NULL;NULL;NULL;PAPILLON;TOR;NULL
291;Lavage fut bout de ligne;Presses;291;4;291;NULL;NULL;10;EV0101;NULL;NULL;NULL;NULL;NULL;NULL
292;Lavage fût presse n°2;Presses;292;4;292;NULL;940288 AR;10;EV 01 01 032,0;1999;NULL;100;PAPILLON;TOR;2099
293;Lavage fût presse n°3;Presses;293;4;293;293;950326AR;10;EV 01 01 032,3;1995;2014;99;PAPILLON;TOR;2113
294;Lavage fût presse n°4;Presses;294;4;294;NULL;990288 AR;10;EV 01 01 032,6;1999;NULL;100;PAPILLON;TOR;2099
295;Lavage fût presse n°5;Presses;295;4;295;NULL;950556AR;10;EV 01 01 033,1;1999;2018;100;PAPILLON;TOR;2118
296;Lavage fût presse n°8;Presses;296;4;296;296;NULL;10;EV 01 01 033,4;NULL;NULL;NULL;PAPILLON;TOR;NULL
297;Lavage gauche presse n°1;Presses;297;4;297;NULL;NULL;10;EV 01 01 034,0;NULL;2018;10;PAPILLON;TOR;2028
298;Lavage gauche presse n°2;Presses;298;4;298;NULL;940288 AR;10;EV 01 01 032,2;1999;2020;10;PAPILLON;TOR;2030
299;Lavage gauche presse n°3;Presses;299;4;299;NULL;990288 AR;10;EV 01 01 032,5;1999;NULL;100;PAPILLON;TOR;2099
300;Lavage gauche presse n°4;Presses;300;4;300;NULL;990288 AR;10;EV 01 01 033,0;1999;NULL;100;PAPILLON;TOR;2099
301;Lavage gauche presse n°5;Presses;301;4;301;NULL;990288 AR;10;EV 01 01 033,3;1999;NULL;100;PAPILLON;TOR;2099
302;Lavage gauche presse n°8;Presses;302;4;302;NULL;NULL;10;EV 01 01 033,4;NULL;NULL;NULL;PAPILLON;TOR;NULL
303;Niveau bac eaux traitées;Bac eaux traitées ;303;4;303;303;NULL;2;LV 01 01 0578;NULL;2018;8;PAPILLON;REG;2026
304;Niveau bouteille condensats Barriquand;Bouteille condensats Barriquand;304;4;304;304;NULL;2;NULL;NULL;2016;100;PAPILLON;REG;2116
305;ph eaux traitees ecumes FAD 2;Bac de préparation eaux traitées;305;4;305;NULL;NULL;21;NULL;2017;2018;100;BOULE;TOR;2118
306;ph eaux traitees ecumes FAD 3;Bac de préparation eaux traitées;306;4;306;NULL;NULL;20;NULL;1981;2010;100;BOULE;TOR;2110
307;Pompes a eaus terreuses P3A;Pompes a eaux terreuses;307;4;307;307;2243AR;24;LV0101****;2022;NULL;100;Pelle;REG;2122
308;Purge bac de préparation eaux traitées;Bac de préparation eaux traitées;308;4;308;NULL;030030 AR;2;NULL;2003;2016;100;PAPILLON;TOR;2116
309;Purge by-pass saccharateur;Saccharateur;309;4;309;NULL;NULL;10;2 EV 06 01 A20,3;1995;2006;20;PAPILLON;TOR;2026
310;Température eaux traitées;Caisse 1ère carbonatation;310;4;310;NULL;NULL;18;TV 01 02 0577;NULL;NULL;8;OPERCULE;REG;NULL
311;Température jus clair après alpha;Saccharateur;311;4;311;NULL;NULL;25;TV 01 02 0578;NULL;NULL;NULL;PAPILLON;REG;NULL
312;Température réchauff. de meichage;Réchauffeurs;312;4;312;312;NULL;2;TV 02 01 0534;1981;2016;100;PAPILLON;REG;2116
313;Vanne débourrage cr3;COUPE RACINE 3;313;4;313;NULL; ;10;NULL;NULL;NULL;NULL;BOULE;TOR;NULL
314;Vide diffusion (réchauffeurs meichage et soutirage);Réchauffeurs ;314;4;314;NULL;NULL;25;PV 18 01 0598;NULL;NULL;NULL;PAPILLON;REG;NULL
315;Chauffage fioul groupe n°1;Chaufferie Duquesne;315;5;315;315;940229 AR;18;LOCALE;1994;1995;100;OPERCULE;REG;2095
316;chauffage fioul groupe n°2;Chaufferie Duquesne;316;5;316;316;940229 AR;18;LOCALE;1994;1995;100;OPERCULE;REG;2095
317;Débit d' eau (niveau ballon);Chaudière Babcok;317;5;317;317;NULL;18;FV 1120 (rep Babcok);1996;2017;10;CLAPET;REG;2027
318;Débit gaz chaudière;Chaudière Babcok;318;5;318;318;NULL;18;FV 3000 (rep Babcok);1996;2010;100;OPERCULE;REG;2110
319;Débit gaz chaudière n°1;Groupe d'allumage gaz chaudière n°1;319;5;319;319;NULL;18;NULL;NULL;NULL;10;CLAPET;REG;NULL
320;Débit gaz chaudière n°2;Groupe d'allumage gaz chaudière n°2;320;5;320;320;NULL;18;NULL;NULL;NULL;10;CLAPET;REG;NULL
321;Débit gaz chaudière n°3;Groupe d'allumage gaz chaudière n°3;321;5;321;321;NULL;18;NULL;NULL;NULL;10;CLAPET;REG;NULL
322;Décharge deshy G ou 8;Deshy G;322;5;322;322;1474AR;4;NULL;2014;NULL;100;CAGE;REG;2114
323;Décharge réseau 25 bars;Réseau vapeur;323;5;323;323;NULL;4;FV 8003/4;1996;2011;99;CLAPET;REG;2110
324;Desurchauffe décharge sécheur G ou 8;Sécheur G;324;5;324;324;1473 AR;18;TV 8012;2014;2022;10;CLAPET;REG;2032
325;Désurchauffe entree corps I;Turbo 3,9 kw;325;5;325;325;980825 AR;18;TV 8013;1998;2005;100;CLAPET;REG;2105
326;Désurchauffe réseau vapeur (détente 25 b) secours;Réseau vapeur;326;5;326;326;960036 AR;18;TV 8001;1996;2018;10;CLAPET;REG;2028
327;Désurchauffe réseau vapeur (détente 25b);Réseau vapeur;327;5;327;327;2238 AR;18;TV 8001;27-01-2023;2023;10;NULL;REG;Impossible achat sup à révision !!!
328;Désurchauffe vapeur chaudière;Chaudière Babcok;328;5;328;NULL;NULL;5;TV 1510 (rep Babcok);1996;2022;3;BUSES;REG;2025
329;Entree bache 1 vanne n°2;Baches à eau Babcock;329;5;329;NULL;1336 AR;10;CVEB1;2013;2020;6;PAPILLON;TOR;2026
330;Entree bache 2 vanne n°2;Baches à eau Babcock;330;5;330;NULL;1336 AR;10;CVEB2;2013;2022;6;PAPILLON;TOR;2028
331;Entree bache 3 vanne n°2;Baches à eau Babcock;331;5;331;NULL;1336 AR;10;CVEB3;2013;2020;6;PAPILLON;TOR;2026
332;Entrée bache 3 vanne n°2;Chaudière Babcok;332;5;332;NULL;NULL;10;459122;2010;2020;6;PAPILLON;TOR;2026
333;Évent gaz;Chaudière Babcok;333;5;333;NULL;NULL;9;UV 3302 (rep Babcok);1996;2022;10;BOULE;TOR;2032
334;Niveau bâche 4;Baches à eau Babcock;334;5;334;334;960223 AR;18;LV 8010 (rep Babcok);1996;2020;16;CLAPET;REG;2036
335;Niveau ballon chaudière n°2;Chaufferie Duquesne;335;5;335;335;NULL;18; ;NULL;2014;100;CLAPET;REG;2114
336;Niveau ballon purge chaudière babcock;NULL;336;5;336;336;NULL;25;LV0105****;NULL;2017;10;OPERCULE;REG;2027
337;Niveau des baches babcock par somme 123;Baches à eau Babcock;337;5;337;337;1313 AR;25;LV 01 05  0373;2013;2013;100;PAPILLON;REG;2113
338;Pression fioul groupe n°1;Chaufferie Duquesne;338;5;338;NULL;NULL;1;LOCALE;NULL;1994;100;CLAPET;REG;2094
339;Pression fioul groupe n°2;Chaufferie Duquesne;339;5;339;NULL;NULL;1;LOCALE;NULL;1994;100;CLAPET;REG;2094
340;Pression gaz d'allumage chaudière n°1;Groupe d'allumage gaz chaudière n°1;340;5;340;NULL;NULL;21;NULL;NULL;NULL;NULL;BOULE;TOR;NULL
341;Pression gaz d'allumage chaudière n°2;Groupe d'allumage gaz chaudière n°2;341;5;341;NULL;NULL;21;NULL;NULL;NULL;NULL;BOULE;TOR;NULL
342;Pression gaz d'allumage chaudière n°3;Groupe d'allumage gaz chaudière n°3;342;5;342;NULL;NULL;21;NULL;NULL;NULL;NULL;BOULE;TOR;NULL
343;Pression réseau 25 bars (détente réseau);Réseau Vapeur 25 bars;343;5;343;343;1762AR;4;8006 (rep babcock);2010;2019;5;CLAPET;REG;2024
344;Pulvérisation vapeur chaudière n° 1;Chaufferie Duquesne;344;5;344;NULL;NULL;1;LOCALE;NULL;1994;100;CLAPET;REG;2094
345;Pulvérisation vapeur chaudière n° 2;Chaufferie Duquesne;345;5;345;NULL;NULL;1;LOCALE;NULL;1994;100;CLAPET;REG;2094
346;Pulvérisation vapeur chaudière n° 3;Chaufferie Duquesne;346;5;346;NULL;NULL;22;LOCALE;NULL;1995;100;CLAPET;REG;2095
347;Refroidissement turbo;Turbo Breguet;347;5;347;NULL;NULL;14;LOCALE;NULL;NULL;NULL;3 VOIES;REG;NULL
348;régulateur d'alimentation en gaz TAG;Turbine à gaz;348;5;348;NULL;NULL;21;NULL;NULL;2003;100;CAGE;REG;2103
349;Section gaz amont chaudière n°1 (vanne du haut);Groupe d'allumage gaz chaudière n°1;349;5;349;NULL;NULL;21;NULL;NULL;NULL;NULL;BOULE;TOR;NULL
350;Section gaz amont chaudière n°2 (vanne du haut);Groupe d'allumage gaz chaudière n°2;350;5;350;NULL;NULL;21;NULL;NULL;NULL;NULL;BOULE;TOR;NULL
351;Section gaz amont chaudière n°3 (vanne du haut);Groupe d'allumage gaz chaudière n°3;351;5;351;NULL;NULL;21;NULL;NULL;NULL;NULL;BOULE;TOR;NULL
352;Section gaz amont évent;Chaudière Babcok;352;5;352;NULL;NULL;9;UV 3301 (rep Babcok);1996;2022;10;BOULE;TOR;2032
353;Section gaz aval babcok;Chaudière Babcok;353;5;353;NULL;0505 AR;21;UV 3303 (rep Babcok);2005;2022;10;BOULE;TOR;2032
354;Sécurité niveau bache A5;NULL;354;5;354;NULL;030031 AR;10;NULL;2003;2016;100;PAPILLON;TOR;2116
355;Sortie bache 3;Baches à eau Babcock;355;5;355;NULL;NULL;10;CVSB3;2010;2013;12;PAPILLON;TOR;2025
