ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;typeVannes;A VOIR EN;N° COMMANDE
694;NULL;NULL;694;13;694;NULL;18;NULL;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
695;NULL;NULL;695;13;695;NULL;18;NULL;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
696;NULL;NULL;696;13;696;NULL;18;NULL;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
697;NULL;NULL;697;13;697;NULL;18;NULL;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
698;NULL;NULL;698;13;698;NULL;18;NULL;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
699;NULL;NULL;699;13;699;NULL;17;NULL;NULL;NULL;NULL;PAPILLON;TOR;NULL;NULL
700;NULL;NULL;700;13;700;NULL;17;NULL;NULL;NULL;NULL;PAPILLON;TOR;NULL;NULL
701;NULL;NULL;701;13;701;NULL;10;NULL;NULL;NULL;NULL;PAPILLON;TOR;NULL;NULL
702;NULL;NULL;702;13;702;NULL;21;NULL;NULL;NULL;NULL;NULL;TOR;NULL;NULL
703;NULL;NULL;703;13;703;NULL;10;NULL;NULL;NULL;NULL;PAPILLON;TOR;NULL;NULL
704;NULL;NULL;704;13;704;NULL;10;NULL;NULL;NULL;NULL;PAPILLON;TOR;NULL;NULL
705;NULL;NULL;705;13;705;NULL;10;NULL;NULL;NULL;NULL;PAPILLON;TOR;NULL;NULL
706;NULL;NULL;706;13;706;NULL;10;NULL;NULL;NULL;NULL;NULL;TOR;NULL;NULL
707;NULL;NULL;707;13;707;NULL;21;NULL;NULL;NULL;NULL;NULL;TOR;NULL;NULL
708;NULL;NULL;708;13;708;NULL;21;NULL;NULL;NULL;NULL;SPHERIQUE;TOR;NULL;NULL
709;NULL;NULL;709;13;709;NULL;21;NULL;NULL;NULL;NULL;NULL;REG;NULL;NULL
710;Alimentation rapide cuite de 1er jet n°1;Cuites de 1er jet;710;13;710;NULL;10;EV 07 22 000.2;2012;2012;100;PAPILLON;TOR;2112;1262AR
711;Alimentation rapide cuite de 1er jet n°2;Cuites de 1er jet;711;13;711;NULL;10;EV 07 22 002.2;2012;NULL;100;PAPILLON;TOR;2112;1262AR
712;ancienne vide général de 1 er jet;NULL;712;13;712;712;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
713;CEFT vanne sécurité mouillage;CEFT;713;13;713;NULL;2;EV 01 02 0655;2012;2013;12;PAPILLON;TOR;2025;1256AR
714;Ejecto E aspirée (DISPO );Corps I1;714;13;714;NULL;2;2EV 02 02 0161;2008;NULL;100;PAPILLON;TOR;2108;0831 AR
715;Ejecto G aspirée;Corps I1;715;13;715;NULL;2;2EV 02 02 0163;2008;NULL;100;PAPILLON;TOR;2108;0831 AR
716;Etage atelier régulation;NULL;716;13;716;NULL;2;1046;NULL;NULL;NULL;NULL;NULL;NULL;NULL
717;Etage atelier régulation;NULL;717;13;717;NULL;20;9;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
718;Etage atelier régulation;NULL;718;13;718;NULL;10;860112;2010;2020;100;PAPILLON;TOR;2120;1262AR
719;Etage atelier régulation;NULL;719;13;719;NULL;20;8;NULL;2006;100;BOULE;TOR;2106;NULL
720;Etage atelier régulation;NULL;720;13;720;NULL;10;240909;1995;2014;100;PAPILLON;REG;2114;950326AR
721;Etage atelier régulation;NULL;721;13;721;NULL;10;240930;1995;2014;100;PAPILLON;REG;2114;950326AR
722;Etage atelier régulation;NULL;722;13;722;NULL;10;240906;1995;2014;100;PAPILLON;REG;2114;950326AR
723;Etage atelier régulation;NULL;723;13;723;NULL;21;NULL;1995;2013;100;BOULE;TOR;2113;NULL
724;Etage atelier régulation;Ancienne chaulage eaux traitées;724;13;724;NULL;21;5744201;1995;2009;100;BOULE;TOR;2109;950661AR
725;Etage atelier régulation;Etage atelier régulation;725;13;725;NULL;25;D01A17260421;2017;2018;100;PAPILLON;TOR;2118;1744AR
726;Etage atelier régulation;NULL;726;13;726;NULL;10;NULL;2016;2016;100;BOULE;TOR;2116;NULL
727;Etage atelier régulation;NULL;727;13;727;NULL;10;NULL;2016;2016;100;BOULE;TOR;2116;NULL
728;Etage atelier régulation;5ème corps;728;13;728;NULL;2;76045403/0120;2000;2019;100;PAPILLON;REG;2119;200165AR
729;Etage atelier régulation;cuites de 1er jet;729;13;729;NULL;10;EV 02 03 0170;2003;2014;20;PAPILLON;TOR;2034;030031 AR
730;Event gaz chaudière n°1 ou 2;Chaudière;730;13;730;730;21;05/12294;2005;NULL;100;BOULE;TOR;2105;0505 AR
731;Lavage goulotte turbine de 1er jet n°1;Turbines de 1er jet;731;13;731;NULL;6;EV 01 12 0084;2002;2009;100;BOULE;TOR;2109;20245
732;Lavage goulotte turbine de 1er jet n°1 (étage régulation);NULL;732;13;732;NULL;Corri Servais;7306706;2008;NULL;100;BOULE;TOR;2108;0845AR
733;Masse cuite 1er jet by-pass pompe n° 1;Cuites de 1er jet;733;13;733;NULL;2;1 110 175 932;2012;NULL;100;PAPILLON;TOR;2112;1256AR
734;Masse cuite 1er jet by-pass pompe n° 2;Cuites de 1er jet;734;13;734;NULL;2;1 110 175 932;NULL;NULL;NULL;NULL;NULL;NULL;1256AR
735;Purge vide;Cuites;735;13;735;NULL;21;NULL;2014;2014;100;BOULE;TOR;2114;1416AR
736;Purge vide cuites ;Cuites ;736;13;736;NULL;10;NULL;2017;2017;100;BOULE;TOR;2117;1722AR
737;Rech. Casse vide atmosphérique (étage atelier régul);Cuites de 1er jet;737;13;737;NULL;2;NULL;2012;2013;100;PAPILLON;TOR;2113;1256AR
738;Rechange section gaz amont Babcock;Chaudière Babcok;738;13;738;NULL;9;NULL;1996;2004;100;BOULE;TOR;2104;NULL
739;Secours dégonflage fad;FAD;739;13;739;NULL;10;NULL;2009;NULL;100;PAPILLON;TOR;2109;NULL
740;Section gaz ch n°1 ou 2;Chaudière;740;13;740;NULL;21;.71000659;2005;NULL;100;BOULE;TOR;2105;0505 AR
741;Section gaz CH3 ou Babcok;Chaudière;741;13;741;NULL;21;05/12294;2005;NULL;100;BOULE;TOR;2105;0505 AR
742;Soufflage filtre à disque n°1 (étage régulation);Filtre à disques n°1;742;13;742;NULL;10;305897;NULL;2008;100;PAPILLON;TOR;2108;Reprise magasin pièces
743;Vanne sortie bâche Babcock;Baches à eau Babcock;743;13;743;NULL;10;NULL;1995;2006;20;PAPILLON;TOR;2026;950736 AR
744;NULL;NULL;744;13;744;NULL;17;ZV 100 (bis);2020;2020;10;Papillon;TOR;2030;2009 AR
745;NULL;NULL;745;13;745;NULL;17;NULL;2020;2020;10;Papillon;TOR;2030;NULL
746;Vanne sortie bache 3 n°2;NULL;746;5;746;NULL;10;CVSB3;2018;2018;10;PAPILLON;TOR;2028;NULL
747;NULL;NULL;747;13;747;NULL;17;NULL;2020;2020;10;Papillon;TOR;2030;NULL
748;Entree bache 3 vanne n°1;Baches à eau Babcock;748;13;748;NULL;10;CVEB3;2013;2020;6;PAPILLON;TOR;2026;1336 AR
749;Vanne df'entrée bache 2;NULL;749;13;749;NULL;10;NULL;2022;2023;15;NULL;TOR;2038;NULL
